ENSG00000188257,ENST00000400520
ENSG00000127472,ENST00000486277
ENSG00000117215,ENST00000375105
ENSG00000158786,ENST00000375102
ENSG00000227066,ENST00000417884
ENSG00000187980,ENST00000429261
ENSG00000225986,ENST00000442226
ENSG00000162543,ENST00000375099
ENSG00000228105,ENST00000435552
ENSG00000158816,ENST00000485375
ENSG00000226664,ENST00000444923
ENSG00000236963,ENST00000426428
ENSG00000226487,ENST00000421114
ENSG00000162545,ENST00000375078
ENSG00000090432,ENST00000264198
ENSG00000215520,ENST00000443195
ENSG00000183114,ENST00000332947
ENSG00000158825,ENST00000375071
ENSG00000158828,ENST00000321556
ENSG00000117242,ENST00000451424
ENSG00000257033,ENST00000535128
ENSG00000244038,ENST00000602624
ENSG00000117245,ENST00000493818
ENSG00000235432,ENST00000440621
ENSG00000189410,ENST00000375031
ENSG00000233069,ENST00000436642
ENSG00000127483,ENST00000312239
ENSG00000203394,ENST00000413451
ENSG00000075151,ENST00000264211
ENSG00000251914,ENST00000516105
ENSG00000221808,ENST00000408881
ENSG00000233072,ENST00000420703
ENSG00000236073,ENST00000431514
ENSG00000235112,ENST00000430808
ENSG00000266867,ENST00000584440
ENSG00000117298,ENST00000415912
ENSG00000236936,ENST00000416959
ENSG00000231105,ENST00000449034
ENSG00000236216,ENST00000486095
ENSG00000228823,ENST00000443127
ENSG00000236009,ENST00000444647
ENSG00000227001,ENST00000453025
ENSG00000187952,ENST00000481504
ENSG00000186543,ENST00000436658
ENSG00000142794,ENST00000454000
ENSG00000176378,ENST00000455962
ENSG00000162551,ENST00000539907
ENSG00000233431,ENST00000457706
ENSG00000221781,ENST00000408854
ENSG00000076864,ENST00000290101
ENSG00000090686,ENST00000400301
ENSG00000231978,ENST00000434488
ENSG00000187942,ENST00000344642
ENSG00000142798,ENST00000486901
ENSG00000232037,ENST00000423231
ENSG00000219073,ENST00000337107
ENSG00000264385,ENST00000582599
ENSG00000263991,ENST00000485776
ENSG00000201919,ENST00000365049
ENSG00000142789,ENST00000290122
ENSG00000263582,ENST00000584415
ENSG00000263929,ENST00000466485
ENSG00000201273,ENST00000364403
ENSG00000228397,ENST00000455966
ENSG00000218510,ENST00000434233
ENSG00000070831,ENST00000400259
ENSG00000230068,ENST00000431803
ENSG00000271428,ENST00000604049
ENSG00000271840,ENST00000606754
ENSG00000162552,ENST00000290167
ENSG00000266564,ENST00000581169
ENSG00000234397,ENST00000487348
ENSG00000184677,ENST00000404138
ENSG00000237200,ENST00000438551
ENSG00000070886,ENST00000374644
ENSG00000173372,ENST00000374642
ENSG00000159189,ENST00000374640
ENSG00000173369,ENST00000510260
ENSG00000133216,ENST00000544305
ENSG00000265422,ENST00000581646
ENSG00000216157,ENST00000401338
ENSG00000225952,ENST00000419644
ENSG00000264014,ENST00000581187
ENSG00000272796,ENST00000610135
ENSG00000215906,ENST00000426928
ENSG00000227868,ENST00000440767
ENSG00000004487,ENST00000356634
ENSG00000240553,ENST00000427154
ENSG00000263793,ENST00000577915
ENSG00000266802,ENST00000583845
ENSG00000169641,ENST00000418342
ENSG00000229010,ENST00000450968
ENSG00000206935,ENST00000384208
ENSG00000252578,ENST00000516769
ENSG00000179546,ENST00000314113
ENSG00000215381,ENST00000442089
ENSG00000261326,ENST00000566551
ENSG00000125944,ENST00000464516
ENSG00000125945,ENST00000314011
ENSG00000249087,ENST00000458053
ENSG00000201405,ENST00000364535
ENSG00000271420,ENST00000605350
ENSG00000204219,ENST00000450454
ENSG00000232482,ENST00000445848
ENSG00000088280,ENST00000495646
ENSG00000007968,ENST00000361729
ENSG00000235052,ENST00000451217
ENSG00000117318,ENST00000374561
ENSG00000197880,ENST00000477916
ENSG00000229239,ENST00000451300
ENSG00000142676,ENST00000374550
ENSG00000203589,ENST00000366398
ENSG00000244609,ENST00000466184
ENSG00000011007,ENST00000418390
ENSG00000236810,ENST00000427796
ENSG00000057757,ENST00000246151
ENSG00000011009,ENST00000374514
ENSG00000117308,ENST00000481736
ENSG00000117305,ENST00000374490
ENSG00000179163,ENST00000374479
ENSG00000188822,ENST00000374472
ENSG00000264347,ENST00000580371
ENSG00000238538,ENST00000458849
ENSG00000229106,ENST00000412176
ENSG00000232557,ENST00000411815
ENSG00000264926,ENST00000578143
ENSG00000230228,ENST00000421430
ENSG00000189266,ENST00000471915
ENSG00000188529,ENST00000344989
ENSG00000215905,ENST00000442164
ENSG00000225315,ENST00000439239
ENSG00000142661,ENST00000338909
ENSG00000230703,ENST00000429191
ENSG00000142677,ENST00000270800
ENSG00000185436,ENST00000327535
ENSG00000230023,ENST00000439059
ENSG00000221032,ENST00000408105
ENSG00000266511,ENST00000584309
ENSG00000232298,ENST00000437965
ENSG00000158055,ENST00000361548
ENSG00000001460,ENST00000374409
ENSG00000001461,ENST00000374399
ENSG00000117602,ENST00000374395
ENSG00000266551,ENST00000580228
ENSG00000264443,ENST00000577528
ENSG00000184454,ENST00000374392
ENSG00000227312,ENST00000443086
ENSG00000239106,ENST00000459380
ENSG00000133226,ENST00000471693
ENSG00000238986,ENST00000459464
ENSG00000169504,ENST00000374379
ENSG00000238482,ENST00000459588
ENSG00000020633,ENST00000399916
ENSG00000229162,ENST00000456316
ENSG00000261025,ENST00000568143
ENSG00000264371,ENST00000580572
ENSG00000233755,ENST00000424084
ENSG00000233419,ENST00000413189
ENSG00000231953,ENST00000455902
ENSG00000117614,ENST00000236273
ENSG00000117616,ENST00000243189
ENSG00000272432,ENST00000607698
ENSG00000261349,ENST00000566714
ENSG00000187010,ENST00000564398
ENSG00000224183,ENST00000414693
ENSG00000259984,ENST00000570165
ENSG00000183726,ENST00000374358
ENSG00000252515,ENST00000516706
ENSG00000238889,ENST00000459565
ENSG00000188672,ENST00000294413
ENSG00000238084,ENST00000541879
ENSG00000266468,ENST00000577655
ENSG00000204178,ENST00000399766
ENSG00000157978,ENST00000374338
ENSG00000225643,ENST00000412797
ENSG00000117643,ENST00000374332
ENSG00000233478,ENST00000436991
ENSG00000162430,ENST00000361547
ENSG00000255054,ENST00000559265
ENSG00000228172,ENST00000442055
ENSG00000117640,ENST00000424294
ENSG00000223474,ENST00000536896
